protocol,src-address,src-port,dst-address,dst-port,reply-src-ip,reply-src-port,reply-dst-ip,reply-dst-port,tcp-state,resolved
tcp,175.103.43.90,51874,10.0.0.4,4075,10.0.0.4,4075,175.103.43.90,51874,established,
tcp,192.168.99.242,54496,35.190.80.1,443,35.190.80.1,443,10.0.0.4,54496,established,a.nel.cloudflare.com
tcp,192.168.99.242,54463,20.197.71.89,443,20.197.71.89,443,10.0.0.4,54463,established,
tcp,192.168.99.242,53997,74.125.204.188,5228,74.125.204.188,5228,10.0.0.4,53997,established,
tcp,10.0.0.4,52931,89.248.163.88,62255,89.248.163.88,62255,10.0.0.4,52931,established,
tcp,192.168.99.242,54501,91.108.56.186,443,91.108.56.186,443,10.0.0.4,54501,established,
tcp,192.168.99.242,53998,74.125.204.188,5228,74.125.204.188,5228,10.0.0.4,53998,established,
tcp,192.168.99.242,54500,91.108.56.186,443,91.108.56.186,443,10.0.0.4,54500,established,
tcp,192.168.99.242,53996,20.197.71.89,443,20.197.71.89,443,10.0.0.4,53996,established,
tcp,192.168.99.242,54034,91.108.56.186,443,91.108.56.186,443,10.0.0.4,54034,established,
tcp,192.168.99.242,54347,91.108.56.141,443,91.108.56.141,443,10.0.0.4,54347,established,
tcp,192.168.99.242,53999,34.120.214.181,443,34.120.214.181,443,10.0.0.4,53999,established,
tcp,192.168.99.242,54451,20.197.71.89,443,20.197.71.89,443,10.0.0.4,54451,established,
tcp,192.168.99.242,51889,20.197.71.89,443,20.197.71.89,443,10.0.0.4,51889,established,
tcp,192.168.99.242,51891,74.125.23.188,5228,74.125.23.188,5228,10.0.0.4,51891,established,
tcp,192.168.99.242,51890,74.125.23.188,5228,74.125.23.188,5228,10.0.0.4,51890,established,
tcp,192.168.99.242,52212,91.108.56.186,443,91.108.56.186,443,10.0.0.4,52212,established,
tcp,192.168.99.242,52216,91.108.56.141,443,91.108.56.141,443,10.0.0.4,52216,established,
tcp,192.168.99.242,52339,20.197.71.89,443,20.197.71.89,443,10.0.0.4,52339,established,
tcp,192.168.99.242,52370,20.197.71.89,443,20.197.71.89,443,10.0.0.4,52370,established,
tcp,10.0.0.4,52931,34.125.244.97,46812,34.125.244.97,46812,10.0.0.4,52931,established,
tcp,175.103.43.90,51874,10.0.0.4,4075,10.0.0.4,4075,175.103.43.90,51874,established,
tcp,192.168.99.242,54496,35.190.80.1,443,35.190.80.1,443,10.0.0.4,54496,established,a.nel.cloudflare.com
tcp,192.168.99.242,54463,20.197.71.89,443,20.197.71.89,443,10.0.0.4,54463,established,
tcp,192.168.99.242,53997,74.125.204.188,5228,74.125.204.188,5228,10.0.0.4,53997,established,
tcp,10.0.0.4,52931,89.248.163.88,62255,89.248.163.88,62255,10.0.0.4,52931,established,
tcp,192.168.99.242,54501,91.108.56.186,443,91.108.56.186,443,10.0.0.4,54501,established,
tcp,192.168.99.242,53998,74.125.204.188,5228,74.125.204.188,5228,10.0.0.4,53998,established,
tcp,192.168.99.242,54500,91.108.56.186,443,91.108.56.186,443,10.0.0.4,54500,established,
tcp,192.168.99.242,53996,20.197.71.89,443,20.197.71.89,443,10.0.0.4,53996,established,
tcp,192.168.99.242,54034,91.108.56.186,443,91.108.56.186,443,10.0.0.4,54034,established,
tcp,192.168.99.242,54347,91.108.56.141,443,91.108.56.141,443,10.0.0.4,54347,established,
tcp,192.168.99.242,53999,34.120.214.181,443,34.120.214.181,443,10.0.0.4,53999,established,
tcp,192.168.99.242,54451,20.197.71.89,443,20.197.71.89,443,10.0.0.4,54451,established,
tcp,192.168.99.242,51889,20.197.71.89,443,20.197.71.89,443,10.0.0.4,51889,established,
tcp,192.168.99.242,51891,74.125.23.188,5228,74.125.23.188,5228,10.0.0.4,51891,established,
tcp,192.168.99.242,51890,74.125.23.188,5228,74.125.23.188,5228,10.0.0.4,51890,established,
tcp,192.168.99.242,52212,91.108.56.186,443,91.108.56.186,443,10.0.0.4,52212,established,
tcp,192.168.99.242,52216,91.108.56.141,443,91.108.56.141,443,10.0.0.4,52216,established,
tcp,192.168.99.242,52339,20.197.71.89,443,20.197.71.89,443,10.0.0.4,52339,established,
tcp,192.168.99.242,52370,20.197.71.89,443,20.197.71.89,443,10.0.0.4,52370,established,
udp,10.0.0.4,47358,159.148.147.201,15252,159.148.147.201,15252,10.0.0.4,47358,,cloud2.mikrotik.com
tcp,10.0.0.4,52931,34.125.244.97,33322,34.125.244.97,33322,10.0.0.4,52931,established,
tcp,175.103.43.90,51874,10.0.0.4,4075,10.0.0.4,4075,175.103.43.90,51874,established,
tcp,192.168.99.242,54496,35.190.80.1,443,35.190.80.1,443,10.0.0.4,54496,established,a.nel.cloudflare.com
tcp,192.168.99.242,54463,20.197.71.89,443,20.197.71.89,443,10.0.0.4,54463,established,
tcp,192.168.99.242,53997,74.125.204.188,5228,74.125.204.188,5228,10.0.0.4,53997,established,
tcp,10.0.0.4,52931,89.248.163.88,62255,89.248.163.88,62255,10.0.0.4,52931,established,
tcp,192.168.99.242,54501,91.108.56.186,443,91.108.56.186,443,10.0.0.4,54501,established,
tcp,192.168.99.242,53998,74.125.204.188,5228,74.125.204.188,5228,10.0.0.4,53998,established,
tcp,192.168.99.242,54500,91.108.56.186,443,91.108.56.186,443,10.0.0.4,54500,established,
tcp,192.168.99.242,53996,20.197.71.89,443,20.197.71.89,443,10.0.0.4,53996,established,
tcp,192.168.99.242,54034,91.108.56.186,443,91.108.56.186,443,10.0.0.4,54034,established,
tcp,192.168.99.242,54347,91.108.56.141,443,91.108.56.141,443,10.0.0.4,54347,established,
tcp,192.168.99.242,53999,34.120.214.181,443,34.120.214.181,443,10.0.0.4,53999,established,
tcp,192.168.99.242,54451,20.197.71.89,443,20.197.71.89,443,10.0.0.4,54451,established,
tcp,192.168.99.242,51889,20.197.71.89,443,20.197.71.89,443,10.0.0.4,51889,established,
tcp,192.168.99.242,51891,74.125.23.188,5228,74.125.23.188,5228,10.0.0.4,51891,established,
tcp,192.168.99.242,51890,74.125.23.188,5228,74.125.23.188,5228,10.0.0.4,51890,established,
tcp,192.168.99.242,52212,91.108.56.186,443,91.108.56.186,443,10.0.0.4,52212,established,
tcp,192.168.99.242,52216,91.108.56.141,443,91.108.56.141,443,10.0.0.4,52216,established,
tcp,192.168.99.242,52339,20.197.71.89,443,20.197.71.89,443,10.0.0.4,52339,established,
tcp,192.168.99.242,52370,20.197.71.89,443,20.197.71.89,443,10.0.0.4,52370,established,
udp,10.0.0.4,47358,159.148.147.201,15252,159.148.147.201,15252,10.0.0.4,47358,,cloud2.mikrotik.com
udp,10.0.0.4,48037,159.148.172.251,15252,159.148.172.251,15252,10.0.0.4,48037,,cloud2.mikrotik.com
tcp,10.0.0.4,52931,34.125.244.97,47766,34.125.244.97,47766,10.0.0.4,52931,established,
tcp,175.103.43.90,51874,10.0.0.4,4075,10.0.0.4,4075,175.103.43.90,51874,established,
tcp,192.168.99.242,54496,35.190.80.1,443,35.190.80.1,443,10.0.0.4,54496,established,a.nel.cloudflare.com
tcp,192.168.99.242,54463,20.197.71.89,443,20.197.71.89,443,10.0.0.4,54463,established,
tcp,192.168.99.242,53997,74.125.204.188,5228,74.125.204.188,5228,10.0.0.4,53997,established,
tcp,10.0.0.4,52931,89.248.163.88,62255,89.248.163.88,62255,10.0.0.4,52931,established,
tcp,192.168.99.242,54501,91.108.56.186,443,91.108.56.186,443,10.0.0.4,54501,established,
tcp,192.168.99.242,53998,74.125.204.188,5228,74.125.204.188,5228,10.0.0.4,53998,established,
tcp,192.168.99.242,54500,91.108.56.186,443,91.108.56.186,443,10.0.0.4,54500,established,
tcp,192.168.99.242,53996,20.197.71.89,443,20.197.71.89,443,10.0.0.4,53996,established,
tcp,192.168.99.242,54034,91.108.56.186,443,91.108.56.186,443,10.0.0.4,54034,established,
tcp,192.168.99.242,54347,91.108.56.141,443,91.108.56.141,443,10.0.0.4,54347,established,
tcp,192.168.99.242,53999,34.120.214.181,443,34.120.214.181,443,10.0.0.4,53999,established,
tcp,192.168.99.242,54451,20.197.71.89,443,20.197.71.89,443,10.0.0.4,54451,established,
tcp,192.168.99.242,51889,20.197.71.89,443,20.197.71.89,443,10.0.0.4,51889,established,
tcp,192.168.99.242,51891,74.125.23.188,5228,74.125.23.188,5228,10.0.0.4,51891,established,
tcp,192.168.99.242,51890,74.125.23.188,5228,74.125.23.188,5228,10.0.0.4,51890,established,
tcp,192.168.99.242,52212,91.108.56.186,443,91.108.56.186,443,10.0.0.4,52212,established,
tcp,192.168.99.242,52216,91.108.56.141,443,91.108.56.141,443,10.0.0.4,52216,established,
tcp,192.168.99.242,52339,20.197.71.89,443,20.197.71.89,443,10.0.0.4,52339,established,
tcp,192.168.99.242,52370,20.197.71.89,443,20.197.71.89,443,10.0.0.4,52370,established,
udp,10.0.0.4,47358,159.148.147.201,15252,159.148.147.201,15252,10.0.0.4,47358,,cloud2.mikrotik.com
udp,10.0.0.4,48037,159.148.172.251,15252,159.148.172.251,15252,10.0.0.4,48037,,cloud2.mikrotik.com
tcp,10.0.0.4,52931,34.125.244.97,34954,34.125.244.97,34954,10.0.0.4,52931,established,
tcp,175.103.43.90,51874,10.0.0.4,4075,10.0.0.4,4075,175.103.43.90,51874,established,
tcp,192.168.99.242,54496,35.190.80.1,443,35.190.80.1,443,10.0.0.4,54496,established,a.nel.cloudflare.com
tcp,192.168.99.242,54463,20.197.71.89,443,20.197.71.89,443,10.0.0.4,54463,established,
tcp,192.168.99.242,53997,74.125.204.188,5228,74.125.204.188,5228,10.0.0.4,53997,established,
tcp,10.0.0.4,52931,89.248.163.88,62255,89.248.163.88,62255,10.0.0.4,52931,established,
tcp,192.168.99.242,54501,91.108.56.186,443,91.108.56.186,443,10.0.0.4,54501,established,
tcp,192.168.99.242,53998,74.125.204.188,5228,74.125.204.188,5228,10.0.0.4,53998,established,
tcp,192.168.99.242,54500,91.108.56.186,443,91.108.56.186,443,10.0.0.4,54500,established,
tcp,192.168.99.242,53996,20.197.71.89,443,20.197.71.89,443,10.0.0.4,53996,established,
tcp,192.168.99.242,54034,91.108.56.186,443,91.108.56.186,443,10.0.0.4,54034,established,
tcp,192.168.99.242,54347,91.108.56.141,443,91.108.56.141,443,10.0.0.4,54347,established,
tcp,192.168.99.242,53999,34.120.214.181,443,34.120.214.181,443,10.0.0.4,53999,established,
tcp,192.168.99.242,54451,20.197.71.89,443,20.197.71.89,443,10.0.0.4,54451,established,
tcp,192.168.99.242,51889,20.197.71.89,443,20.197.71.89,443,10.0.0.4,51889,established,
tcp,192.168.99.242,51891,74.125.23.188,5228,74.125.23.188,5228,10.0.0.4,51891,established,
tcp,192.168.99.242,51890,74.125.23.188,5228,74.125.23.188,5228,10.0.0.4,51890,established,
tcp,192.168.99.242,52212,91.108.56.186,443,91.108.56.186,443,10.0.0.4,52212,established,
tcp,192.168.99.242,52216,91.108.56.141,443,91.108.56.141,443,10.0.0.4,52216,established,
tcp,192.168.99.242,52339,20.197.71.89,443,20.197.71.89,443,10.0.0.4,52339,established,
tcp,192.168.99.242,52370,20.197.71.89,443,20.197.71.89,443,10.0.0.4,52370,established,
udp,10.0.0.4,47358,159.148.147.201,15252,159.148.147.201,15252,10.0.0.4,47358,,cloud2.mikrotik.com
udp,10.0.0.4,48037,159.148.172.251,15252,159.148.172.251,15252,10.0.0.4,48037,,cloud2.mikrotik.com
tcp,10.0.0.4,52931,34.125.244.97,42282,34.125.244.97,42282,10.0.0.4,52931,established,
tcp,175.103.43.90,51874,10.0.0.4,4075,10.0.0.4,4075,175.103.43.90,51874,established,
tcp,192.168.99.242,54496,35.190.80.1,443,35.190.80.1,443,10.0.0.4,54496,established,a.nel.cloudflare.com
tcp,192.168.99.242,54463,20.197.71.89,443,20.197.71.89,443,10.0.0.4,54463,established,
tcp,192.168.99.242,53997,74.125.204.188,5228,74.125.204.188,5228,10.0.0.4,53997,established,
tcp,10.0.0.4,52931,89.248.163.88,62255,89.248.163.88,62255,10.0.0.4,52931,established,
tcp,192.168.99.242,54501,91.108.56.186,443,91.108.56.186,443,10.0.0.4,54501,established,
tcp,192.168.99.242,53998,74.125.204.188,5228,74.125.204.188,5228,10.0.0.4,53998,established,
tcp,192.168.99.242,54500,91.108.56.186,443,91.108.56.186,443,10.0.0.4,54500,established,
tcp,192.168.99.242,53996,20.197.71.89,443,20.197.71.89,443,10.0.0.4,53996,established,
tcp,192.168.99.242,54034,91.108.56.186,443,91.108.56.186,443,10.0.0.4,54034,established,
tcp,192.168.99.242,54347,91.108.56.141,443,91.108.56.141,443,10.0.0.4,54347,established,
tcp,192.168.99.242,53999,34.120.214.181,443,34.120.214.181,443,10.0.0.4,53999,established,
tcp,192.168.99.242,54451,20.197.71.89,443,20.197.71.89,443,10.0.0.4,54451,established,
tcp,192.168.99.242,51889,20.197.71.89,443,20.197.71.89,443,10.0.0.4,51889,established,
tcp,192.168.99.242,51891,74.125.23.188,5228,74.125.23.188,5228,10.0.0.4,51891,established,
tcp,192.168.99.242,51890,74.125.23.188,5228,74.125.23.188,5228,10.0.0.4,51890,established,
tcp,192.168.99.242,52212,91.108.56.186,443,91.108.56.186,443,10.0.0.4,52212,established,
tcp,192.168.99.242,52216,91.108.56.141,443,91.108.56.141,443,10.0.0.4,52216,established,
tcp,192.168.99.242,52339,20.197.71.89,443,20.197.71.89,443,10.0.0.4,52339,established,
tcp,192.168.99.242,52370,20.197.71.89,443,20.197.71.89,443,10.0.0.4,52370,established,
udp,10.0.0.4,47358,159.148.147.201,15252,159.148.147.201,15252,10.0.0.4,47358,,cloud2.mikrotik.com
udp,10.0.0.4,48037,159.148.172.251,15252,159.148.172.251,15252,10.0.0.4,48037,,cloud2.mikrotik.com
icmp,43.192.80.126,None,10.0.0.4,None,10.0.0.4,None,43.192.80.126,None,,
icmp,52.83.42.219,None,10.0.0.4,None,10.0.0.4,None,52.83.42.219,None,,
icmp,68.79.44.217,None,10.0.0.4,None,10.0.0.4,None,68.79.44.217,None,,
icmp,52.83.163.102,None,10.0.0.4,None,10.0.0.4,None,52.83.163.102,None,,
icmp,43.192.93.193,None,10.0.0.4,None,10.0.0.4,None,43.192.93.193,None,,
icmp,52.82.15.152,None,10.0.0.4,None,10.0.0.4,None,52.82.15.152,None,,
tcp,10.0.0.4,52931,34.125.244.97,33030,34.125.244.97,33030,10.0.0.4,52931,established,
tcp,175.103.43.90,51874,10.0.0.4,4075,10.0.0.4,4075,175.103.43.90,51874,established,
tcp,192.168.99.242,54496,35.190.80.1,443,35.190.80.1,443,10.0.0.4,54496,established,a.nel.cloudflare.com
tcp,192.168.99.242,54463,20.197.71.89,443,20.197.71.89,443,10.0.0.4,54463,established,
tcp,192.168.99.242,53997,74.125.204.188,5228,74.125.204.188,5228,10.0.0.4,53997,established,
tcp,10.0.0.4,52931,89.248.163.88,62255,89.248.163.88,62255,10.0.0.4,52931,established,
tcp,192.168.99.242,54501,91.108.56.186,443,91.108.56.186,443,10.0.0.4,54501,established,
tcp,192.168.99.242,53998,74.125.204.188,5228,74.125.204.188,5228,10.0.0.4,53998,established,
tcp,192.168.99.242,54500,91.108.56.186,443,91.108.56.186,443,10.0.0.4,54500,established,
tcp,192.168.99.242,53996,20.197.71.89,443,20.197.71.89,443,10.0.0.4,53996,established,
tcp,192.168.99.242,54034,91.108.56.186,443,91.108.56.186,443,10.0.0.4,54034,established,
tcp,192.168.99.242,54347,91.108.56.141,443,91.108.56.141,443,10.0.0.4,54347,established,
tcp,192.168.99.242,53999,34.120.214.181,443,34.120.214.181,443,10.0.0.4,53999,established,
tcp,192.168.99.242,54451,20.197.71.89,443,20.197.71.89,443,10.0.0.4,54451,established,
tcp,192.168.99.242,51889,20.197.71.89,443,20.197.71.89,443,10.0.0.4,51889,established,
tcp,192.168.99.242,51891,74.125.23.188,5228,74.125.23.188,5228,10.0.0.4,51891,established,
tcp,192.168.99.242,51890,74.125.23.188,5228,74.125.23.188,5228,10.0.0.4,51890,established,
tcp,192.168.99.242,52212,91.108.56.186,443,91.108.56.186,443,10.0.0.4,52212,established,
tcp,192.168.99.242,52216,91.108.56.141,443,91.108.56.141,443,10.0.0.4,52216,established,
tcp,192.168.99.242,52339,20.197.71.89,443,20.197.71.89,443,10.0.0.4,52339,established,
tcp,192.168.99.242,52370,20.197.71.89,443,20.197.71.89,443,10.0.0.4,52370,established,
udp,10.0.0.4,47358,159.148.147.201,15252,159.148.147.201,15252,10.0.0.4,47358,,cloud2.mikrotik.com
udp,10.0.0.4,48037,159.148.172.251,15252,159.148.172.251,15252,10.0.0.4,48037,,cloud2.mikrotik.com
tcp,10.0.0.4,52931,34.125.244.97,39440,34.125.244.97,39440,10.0.0.4,52931,established,
tcp,175.103.43.90,51874,10.0.0.4,4075,10.0.0.4,4075,175.103.43.90,51874,established,
tcp,192.168.99.242,54496,35.190.80.1,443,35.190.80.1,443,10.0.0.4,54496,established,a.nel.cloudflare.com
tcp,192.168.99.242,54463,20.197.71.89,443,20.197.71.89,443,10.0.0.4,54463,established,
tcp,192.168.99.242,53997,74.125.204.188,5228,74.125.204.188,5228,10.0.0.4,53997,established,
tcp,10.0.0.4,52931,89.248.163.88,62255,89.248.163.88,62255,10.0.0.4,52931,established,
tcp,192.168.99.242,54501,91.108.56.186,443,91.108.56.186,443,10.0.0.4,54501,established,
tcp,192.168.99.242,53998,74.125.204.188,5228,74.125.204.188,5228,10.0.0.4,53998,established,
tcp,192.168.99.242,54500,91.108.56.186,443,91.108.56.186,443,10.0.0.4,54500,established,
tcp,192.168.99.242,53996,20.197.71.89,443,20.197.71.89,443,10.0.0.4,53996,established,
tcp,192.168.99.242,54034,91.108.56.186,443,91.108.56.186,443,10.0.0.4,54034,established,
tcp,192.168.99.242,54347,91.108.56.141,443,91.108.56.141,443,10.0.0.4,54347,established,
tcp,192.168.99.242,53999,34.120.214.181,443,34.120.214.181,443,10.0.0.4,53999,established,
tcp,192.168.99.242,54451,20.197.71.89,443,20.197.71.89,443,10.0.0.4,54451,established,
tcp,192.168.99.242,51889,20.197.71.89,443,20.197.71.89,443,10.0.0.4,51889,established,
tcp,192.168.99.242,51891,74.125.23.188,5228,74.125.23.188,5228,10.0.0.4,51891,established,
tcp,192.168.99.242,51890,74.125.23.188,5228,74.125.23.188,5228,10.0.0.4,51890,established,
tcp,192.168.99.242,52212,91.108.56.186,443,91.108.56.186,443,10.0.0.4,52212,established,
tcp,192.168.99.242,52216,91.108.56.141,443,91.108.56.141,443,10.0.0.4,52216,established,
tcp,192.168.99.242,52339,20.197.71.89,443,20.197.71.89,443,10.0.0.4,52339,established,
tcp,192.168.99.242,52370,20.197.71.89,443,20.197.71.89,443,10.0.0.4,52370,established,
udp,10.0.0.4,47358,159.148.147.201,15252,159.148.147.201,15252,10.0.0.4,47358,,cloud2.mikrotik.com
udp,10.0.0.4,48037,159.148.172.251,15252,159.148.172.251,15252,10.0.0.4,48037,,cloud2.mikrotik.com
tcp,10.0.0.4,52931,34.125.244.97,44988,34.125.244.97,44988,10.0.0.4,52931,established,
